action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
311,0,0,0,139,7,361,0
135,176,53,0,141,0,359,0
0,0,208,134,143,0,357,0
0,232,176,0,138,0,362,7
318,62,0,13,133,6,366,1
0,223,190,57,136,0,364,0
298,27,0,0,131,7,369,7
140,300,0,0,132,0,367,1
0,0,195,152,135,0,365,0
0,79,170,69,130,0,370,7
0,317,16,0,125,6,374,7
0,151,233,0,120,7,379,1
159,28,0,44,115,8,385,0
0,398,0,95,117,0,383,0
442,0,0,0,112,7,381,7
474,0,0,0,120,0,379,1
0,101,91,223,123,0,377,0
184,0,0,0,118,7,382,7
0,0,452,34,119,0,380,1
199,107,153,0,114,0,386,8
4,35,267,188,114,0,384,2
0,356,121,0,113,5,387,5
0,0,163,122,108,7,392,0
421,0,0,49,103,0,397,7
0,121,31,266,0,0,0,0
0,91,0,303,0,121,31,266
331,0,0,0,0,204,29,358
0,0,0,265,0,196,27,352
0,17,0,426,0,188,25,346
0,0,79,303,0,180,23,340
0,199,0,64,0,172,21,334
0,0,193,151,0,164,19,328
0,0,447,0,0,156,22,327
0,137,101,0,0,148,31,321
236,73,185,0,0,156,45,315
0,158,32,0,0,148,43,309
0,0,336,0,0,156,57,303
424,0,0,0,0,148,55,297
291,0,159,0,16,140,53,291
0,0,311,0,32,132,51,285
0,0,351,91,27,124,70,279
0,315,130,0,22,116,89,294
0,0,60,391,17,108,87,288
0,144,178,0,12,100,106,303
0,232,104,107,7,92,104,297
31,144,3,24,2,105,123,312
0,0,91,371,0,97,121,306
4,0,406,0,0,89,119,300
308,0,0,146,4,81,121,294
94,0,0,216,20,73,119,288
0,446,0,0,36,65,117,282
139,165,0,31,31,78,115,276
144,0,156,67,47,70,113,270
0,376,75,0,63,62,111,264
0,208,0,209,58,75,130,258
0,0,399,0,53,67,128,252
491,0,0,0,48,59,147,246
19,0,0,480,64,51,145,240
193,0,0,182,78,43,143,236
0,0,426,0,94,35,141,230
0,0,118,190,89,27,160,224
0,305,0,0,84,19,179,239
0,0,0,447,79,11,177,233
0,0,67,236,74,3,175,248
65,0,302,116,69,0,189,258
0,0,321,0,64,0,187,252
0,0,331,0,59,0,195,246
213,0,220,34,54,0,206,240
180,0,42,148,62,0,204,234
0,0,379,0,70,0,202,228
427,0,0,0,65,0,213,222
151,178,136,0,73,0,211,216
0,0,405,0,81,0,209,210
0,0,305,0,76,0,220,204
0,14,382,0,71,0,231,198
0,496,0,0,66,13,242,192
0,320,56,0,61,13,240,186
14,0,0,450,56,26,259,180
275,136,55,0,51,18,257,174
0,185,106,0,67,10,255,168
0,337,158,0,62,23,274,162
418,0,0,0,57,15,272,156
0,283,0,0,73,7,270,150
0,417,50,0,68,20,268,144
0,175,0,302,63,33,287,138
0,22,258,0,58,25,285,132
0,0,25,397,53,38,304,126
0,79,323,0,48,30,302,120
121,34,261,17,43,43,321,114
0,0,0,302,38,35,319,108
268,34,0,101,33,27,317,123
0,313,0,80,49,19,315,117
79,0,357,0,44,32,313,132
189,161,107,0,39,24,311,126
131,63,0,0,55,16,309,120
0,0,65,242,71,8,307,114
20,0,0,363,66,0,326,129
52,232,8,4,61,0,324,123
0,288,0,76,61,0,322,117
201,164,72,30,56,13,320,124
63,0,256,0,59,5,318,118
0,0,351,11,72,0,316,112
0,126,81,119,67,0,327,117
319,0,0,115,62,2,327,113
0,16,0,386,68,0,325,107
3,0,342,94,63,13,323,114
164,0,36,248,61,5,326,113
1,0,236,0,69,0,324,107
0,467,0,0,65,0,334,101
0,325,67,18,60,13,332,95
0,12,355,0,55,26,351,107
143,0,314,29,50,18,349,101
165,214,47,0,48,10,347,95
0,239,188,0,64,2,345,89
81,267,85,56,59,15,358,83
99,199,0,194,60,7,356,77
4,0,378,0,75,0,354,71
0,105,391,3,74,0,361,65
0,68,400,0,69,13,372,62
0,0,30,311,64,10,375,56
0,380,0,0,59,2,389,66
0,145,63,202,54,0,387,60
0,19,0,404,49,12,397,66
0,387,0,94,44,4,395,60
362,0,0,0,0,0,0,0
0,35,0,415,362,0,0,0
138,265,0,34,357,35,0,143
189,152,0,0,352,27,0,137
230,228,0,0,350,19,0,131
0,83,411,0,364,11,0,125
79,291,0,0,359,22,19,119
266,25,65,0,356,14,17,113
350,0,0,77,372,6,15,107
345,0,0,155,386,0,13,101
95,301,0,0,394,0,11,95
185,140,0,0,402,0,9,89
487,0,0,0,410,0,7,83
329,0,0,0,418,0,5,77
159,224,0,52,426,0,3,71
0,465,0,0,434,0,1,65
212,236,0,0,429,12,0,59
0,263,181,0,443,4,0,53
286,40,97,0,438,15,15,47
0,0,122,153,439,7,13,41
0,0,107,312,434,0,31,55
0,0,101,316,429,0,29,49
60,155,0,223,424,0,33,49
189,38,188,0,426,0,31,43
280,0,0,0,434,0,29,37
204,296,0,0,442,0,27,31
0,0,93,158,450,0,25,25
180,0,281,19,445,0,36,32
0,0,498,0,440,0,34,26
0,0,0,364,435,0,45,20
0,0,71,237,430,0,43,27
97,0,102,251,425,0,54,34
0,401,0,0,420,0,52,28
217,130,0,83,415,13,50,22
262,49,189,0,431,5,48,16
0,0,475,0,444,0,46,10
53,101,51,21,439,0,57,4
189,139,74,32,445,0,55,0
200,0,0,264,447,0,53,0
326,0,0,0,449,0,51,0
0,363,10,0,451,0,49,0
316,0,0,0,446,7,54,0
0,252,158,0,448,0,52,0
122,169,154,0,443,7,57,0
293,0,152,0,445,0,55,0
447,0,34,0,447,0,53,0
386,0,0,0,449,0,51,0
0,151,0,233,451,0,49,0
0,101,148,0,446,7,47,7
119,23,177,144,441,13,58,1
12,445,0,0,439,5,56,0
76,351,0,0,446,0,54,0
381,0,0,0,448,0,52,0
0,305,0,47,450,0,50,0
0,0,60,290,445,7,48,7
428,0,0,0,440,0,59,14
183,189,57,0,435,0,57,8
27,311,0,0,443,0,55,2
72,0,253,93,447,0,53,0
0,0,401,0,449,0,51,0
314,0,37,82,444,0,56,0
0,0,186,127,446,0,54,0
269,221,0,0,441,0,59,7
0,0,441,0,442,0,57,1
0,335,72,0,437,0,63,0
313,0,104,0,432,7,68,0
263,0,0,171,434,0,66,0
324,0,0,104,436,0,64,0
0,0,204,26,438,0,62,0
120,0,126,187,433,0,67,7
0,349,0,74,434,0,65,1
12,155,238,0,429,8,63,8
13,0,0,477,436,1,62,2
0,0,106,97,440,0,60,0
0,0,409,0,435,0,65,7
232,0,0,0,430,0,69,1
211,92,163,0,433,0,67,0
0,282,87,0,435,0,65,0
5,218,0,179,430,7,70,0
483,0,0,0,430,2,68,2
0,4,98,337,434,0,66,0
117,290,16,0,429,4,71,7
419,0,14,0,430,0,69,1
0,36,412,0,433,0,67,0
409,13,0,7,428,7,72,0
0,25,0,199,430,0,70,0
396,34,0,41,425,7,68,7
119,0,0,196,433,0,66,1
0,98,19,368,436,0,64,0
109,0,330,56,431,7,69,7
276,0,0,120,432,0,67,1
104,144,0,236,435,0,65,0
111,272,0,100,437,0,63,0
0,24,188,286,439,0,61,0
56,102,51,0,434,7,66,7
0,7,212,238,435,0,64,1
0,0,4,302,430,7,70,8
0,0,230,33,425,0,72,7
0,0,34,421,420,0,79,10
159,246,0,0,415,0,81,8
0,284,42,120,0,0,0,0
45,445,0,0,0,284,42,120
0,134,103,0,45,301,40,114
0,226,24,0,40,314,59,108
325,0,0,0,35,306,57,102
0,291,139,0,51,298,55,96
0,331,31,46,46,311,74,90
257,0,170,0,41,303,72,84
87,0,0,397,57,295,70,78
0,450,0,0,73,287,68,72
144,31,55,0,68,300,66,66
0,301,121,68,84,292,64,60
100,343,4,0,79,305,83,75
0,454,0,0,74,297,81,69
300,0,0,185,69,289,79,63
0,61,292,0,85,281,77,57
0,12,207,30,80,294,96,51
167,0,23,264,75,286,94,45
231,98,49,0,91,278,92,39
420,0,0,0,107,270,90,33
0,361,0,0,123,262,88,27
0,0,0,378,118,275,86,21
0,53,0,101,113,267,84,36
75,0,0,342,108,280,82,51
316,122,4,0,103,272,80,45
388,0,49,0,119,264,78,39
58,104,167,152,135,256,76,33
0,0,122,320,151,248,74,27
2,0,73,54,146,240,93,42
0,0,450,40,141,232,91,36
64,0,0,415,136,224,110,51
0,0,0,452,131,216,108,45
0,398,99,0,126,208,106,60
366,0,0,55,121,221,125,54
0,214,80,0,116,213,123,48
0,0,186,184,111,226,142,42
313,0,0,133,106,218,140,36
0,18,294,0,122,210,138,30
0,0,0,464,117,220,157,24
26,0,36,238,112,212,155,21
0,0,413,83,128,204,153,15
0,390,0,22,123,196,172,30
0,152,319,0,118,188,170,24
0,279,0,0,113,201,189,18
424,0,0,0,108,193,187,12
0,0,0,417,124,185,185,6
64,0,165,160,119,177,183,21
0,412,0,0,135,169,181,15
0,215,0,143,130,182,179,9
273,45,0,47,125,195,177,24
0,0,0,489,120,187,175,18
0,438,0,9,115,179,173,33
377,9,0,0,110,192,171,36
0,101,73,281,117,184,169,30
0,215,95,161,112,197,188,45
0,0,454,0,107,189,186,39
120,0,283,0,102,181,184,33
0,280,0,112,118,173,182,27
316,31,0,119,113,186,180,42
297,172,0,0,108,178,178,36
402,0,0,0,124,170,176,30
348,0,0,112,140,162,174,24
0,296,16,63,156,154,172,18
219,192,86,0,151,167,186,33
68,0,103,85,146,159,184,27
0,39,30,393,146,151,182,21
138,0,93,18,141,164,201,36
0,455,0,0,136,156,199,30
110,0,0,303,131,148,197,24
66,93,0,156,147,140,195,18
0,164,318,0,163,132,193,12
289,135,0,26,158,145,212,6
197,0,208,0,153,137,210,0
87,0,44,248,163,129,208,0
0,0,0,413,173,121,206,0
318,74,0,14,168,113,204,15
21,198,116,137,184,105,202,9
156,58,218,0,200,97,200,3
300,148,7,0,213,89,198,0
131,2,118,240,223,81,196,0
0,471,0,0,233,73,194,0
140,175,0,66,228,80,192,0
46,0,85,194,238,72,190,0
36,413,0,0,248,64,188,0
394,0,34,0,258,56,186,0
46,0,445,7,268,48,184,0
119,0,37,254,278,40,182,0
123,0,149,188,288,32,180,0
345,0,136,0,298,24,178,0
148,33,199,0,308,16,176,0
45,4,133,137,318,8,174,0
126,3,95,0,328,0,172,0
21,0,453,26,330,0,170,0
0,0,453,0,332,0,168,0
0,253,173,24,327,0,173,0
396,0,16,4,322,7,178,7
0,470,0,0,323,0,176,1
131,0,92,257,318,8,174,0
0,0,166,252,328,0,172,0
0,494,0,0,323,0,177,7
0,123,182,153,0,0,0,0
0,484,0,0,0,123,182,153
240,0,167,0,0,173,180,147
0,357,0,109,16,165,178,141
0,0,0,434,11,178,176,156
0,0,0,486,6,170,174,150
176,157,0,133,1,162,172,165
0,59,0,398,17,154,170,159
82,64,49,0,12,167,168,174
0,0,445,0,7,159,166,168
390,0,0,0,2,151,185,162
334,119,0,0,18,143,183,156
281,0,50,133,34,135,181,150
285,0,0,128,50,127,179,144
0,409,0,0,66,119,177,138
113,65,0,296,61,132,175,132
313,0,0,0,77,124,173,126
137,82,0,238,93,116,171,120
0,0,23,420,109,108,169,114
226,0,220,0,104,100,188,129
0,0,93,298,99,92,186,123
0,0,0,299,94,84,205,138
478,0,0,0,89,76,203,132
228,0,36,200,105,68,201,126
484,0,0,0,121,60,199,120
62,186,0,184,137,52,197,114
0,0,459,0,153,44,195,108
0,0,489,0,148,36,214,102
35,421,0,0,143,28,233,96
0,0,0,226,159,20,231,90
0,0,145,237,154,12,229,105
80,374,0,0,149,4,248,120
0,277,0,0,144,0,246,114
0,485,0,0,139,9,244,108
309,0,7,180,134,22,242,102
0,466,0,0,150,14,240,96
144,146,0,0,145,27,238,90
0,0,0,478,161,19,236,84
148,0,108,0,156,11,234,99
0,0,85,215,172,3,232,93
0,289,0,0,167,0,246,103
0,0,97,139,162,0,244,97
0,32,112,299,157,0,252,101
0,357,140,0,152,3,253,98
50,399,30,0,147,10,261,92
136,186,0,0,153,2,259,86
50,182,0,221,163,0,257,80
271,0,72,24,171,0,255,74
189,0,85,222,179,0,253,68
0,16,74,210,187,0,251,62
0,45,30,364,182,13,262,69
62,378,0,0,177,5,260,63
485,0,14,0,185,0,258,57
0,0,425,0,193,0,256,51
246,72,0,172,188,0,267,45
0,289,129,0,196,0,265,39
0,288,101,72,191,13,276,33
0,354,0,0,186,13,282,35
0,0,163,108,181,10,280,29
0,415,65,0,176,2,299,44
0,0,442,21,171,0,297,38
444,0,0,0,166,0,302,39
380,0,36,79,167,0,300,33
0,0,6,329,175,0,298,27
322,0,0,37,170,0,302,34
37,71,50,12,172,0,300,28
0,161,0,186,180,0,298,22
318,0,0,0,175,13,296,29
0,263,0,0,178,5,294,23
38,293,0,0,173,18,292,17
0,0,408,0,189,10,290,11
0,88,0,376,184,2,309,5
21,48,121,0,179,14,307,14
39,0,126,322,181,6,305,8
0,0,370,73,195,0,303,2
0,0,249,240,190,0,310,9
0,280,207,0,185,0,312,7
56,0,241,0,180,9,319,1
0,357,0,0,182,1,317,0
50,17,154,0,177,8,315,0
0,0,268,6,187,0,313,0
79,251,0,0,182,0,318,6
290,0,97,7,184,0,316,0
0,0,251,96,186,0,314,0
0,397,0,0,181,0,319,7
0,0,196,97,176,6,317,1
0,0,426,0,171,0,329,14
48,155,84,167,166,0,327,8
0,9,79,167,173,0,325,2
0,478,0,13,168,9,332,9
261,40,0,65,163,4,330,6
0,0,329,0,172,0,328,0
97,0,46,75,167,0,333,0
239,0,170,0,169,0,331,0
276,0,116,34,171,0,329,0
0,386,0,50,173,0,327,0
0,0,311,171,168,7,325,7
0,214,0,0,163,0,336,14
0,0,0,362,158,0,334,8
0,218,156,0,153,0,332,15
0,0,323,150,0,0,0,0
0,13,385,83,0,0,323,150
0,0,187,228,0,13,356,179
0,0,46,241,0,5,354,173
0,453,27,0,0,0,352,167
0,368,0,36,0,0,350,161
33,16,0,126,0,0,348,155
0,201,0,250,5,0,346,149
234,0,257,0,0,13,344,156
0,350,0,0,3,5,342,150
98,0,102,245,0,16,340,144
0,122,253,0,16,8,338,138
0,0,314,0,11,21,357,132
142,332,0,6,6,13,355,126
123,0,0,261,22,5,353,120
5,0,194,192,35,0,351,114
0,144,0,151,35,0,357,116
0,0,0,414,30,5,355,115
413,0,0,0,25,0,353,122
9,153,0,0,33,0,351,116
32,236,0,0,37,4,349,110
0,478,0,0,49,0,347,104
0,37,0,448,44,13,345,98
0,0,0,176,39,26,343,113
0,0,0,311,34,18,341,107
0,0,488,0,29,10,339,122
370,81,0,0,24,2,358,116
38,296,47,0,34,0,356,110
193,0,0,171,42,0,354,104
0,305,0,0,50,0,352,98
2,0,236,106,45,13,350,92
64,0,378,0,42,5,367,105
0,51,442,0,37,0,365,99
0,457,0,36,32,12,375,93
0,0,254,0,27,13,373,96
0,0,0,403,22,5,383,90
56,311,0,0,17,0,381,102
0,8,54,413,25,0,379,96
50,252,68,0,20,8,390,103
51,263,83,0,15,0,388,97
0,327,18,140,23,0,386,91
0,220,119,96,18,13,397,98
0,313,154,0,13,5,395,92
0,0,242,0,8,13,406,86
7,83,0,402,3,5,412,80
328,151,0,0,7,9,410,83
19,353,0,21,14,1,408,77
147,0,0,96,23,0,406,71
109,0,309,0,31,0,404,65
79,138,0,12,39,0,402,59
0,0,0,364,47,0,400,53
449,0,0,0,42,0,398,60
0,439,33,0,50,0,396,54
0,0,244,215,45,13,407,48
213,13,0,0,40,5,413,50
453,0,0,0,45,0,411,44
65,0,401,0,53,0,409,38
46,0,142,0,61,0,407,32
0,0,251,213,69,0,405,26
22,365,0,0,64,0,416,33
0,0,419,0,59,0,414,27
0,0,415,0,54,0,425,21
150,59,41,22,49,0,436,15
0,49,70,330,57,0,434,9
125,208,0,144,52,13,445,16
136,161,16,181,47,5,443,10
0,198,292,0,55,0,441,4
0,0,41,317,50,11,450,0
225,0,0,251,45,3,452,4
446,0,0,0,50,0,450,0
0,0,4,413,52,0,448,0
0,41,450,0,47,0,450,7
0,83,223,126,42,9,457,1
129,67,0,272,37,8,462,7
0,27,0,459,39,0,460,1
0,432,0,0,34,8,458,8
0,231,0,234,29,13,456,2
355,0,0,83,24,22,454,17
300,0,111,0,23,14,452,11
0,83,0,236,39,6,450,5
165,0,94,171,34,18,448,18
174,223,93,7,32,10,446,12
0,87,102,208,48,2,444,6
0,450,0,0,43,15,457,15
0,0,76,352,38,7,455,9
105,0,0,353,33,0,464,14
0,0,0,482,30,0,462,8
181,57,0,234,25,0,460,15
0,453,0,0,33,0,458,9
0,0,65,360,28,13,456,3
0,0,0,458,23,5,472,18
237,76,0,153,18,0,470,12
40,31,43,0,26,0,468,6
0,68,359,0,34,0,466,0
0,0,0,487,29,7,471,0
0,0,268,0,24,0,469,7
0,309,135,43,19,0,480,1
211,4,44,66,14,8,486,8
90,0,0,113,14,0,484,2
476,0,0,0,18,0,482,0
319,0,96,0,0,0,0,0
0,182,109,0,319,0,96,0
0,0,415,0,314,92,186,0
140,148,189,0,309,84,184,0
0,0,343,126,304,76,182,0
103,294,0,19,299,68,180,0
46,0,94,156,294,60,178,0
6,440,40,0,289,52,176,0
0,0,159,157,284,44,174,0
0,0,0,307,279,36,185,13
113,0,377,0,274,28,183,15
0,406,69,0,290,20,181,9
360,0,0,0,285,33,200,3
0,470,0,0,280,25,198,0
0,361,42,0,275,29,196,0
0,75,0,292,270,36,209,0
0,0,0,453,265,28,207,0
0,205,75,137,260,20,205,15
0,334,0,79,255,33,224,30
0,0,0,469,250,25,222,24
267,99,0,16,245,17,220,18
0,0,28,455,261,9,218,12
0,216,59,0,256,1,237,27
0,171,0,250,251,0,235,21
165,0,321,0,246,6,233,21
0,0,373,99,254,0,231,15
0,0,0,431,249,0,242,22
68,14,0,395,244,0,240,16
168,172,52,0,252,0,238,10
48,0,221,67,260,0,236,4
149,31,319,0,266,0,234,0
0,0,0,479,268,0,232,0
0,0,301,188,263,0,230,7
448,0,0,0,258,0,241,14
0,0,126,124,253,0,239,8
155,94,0,126,248,0,250,15
111,82,75,0,243,0,248,9
383,0,93,0,251,0,246,3
0,180,293,0,256,0,244,0
0,0,87,314,251,7,249,0
143,65,0,0,246,0,254,7
0,0,404,28,247,0,252,1
113,232,0,0,242,0,258,8
111,0,327,0,242,0,256,2
4,17,0,440,246,0,254,0
0,382,0,41,245,3,252,3
0,0,494,0,240,10,250,10
369,0,0,0,235,2,259,4
287,74,57,0,243,0,257,0
9,0,0,416,245,0,255,0
0,43,0,126,247,0,253,0
158,76,32,0,242,7,251,7
0,22,416,16,250,0,249,1
171,0,100,0,245,8,255,8
0,0,0,359,245,0,253,2
293,0,141,8,240,0,251,9
53,255,76,0,248,0,249,3
47,33,389,0,253,0,247,0
341,62,0,96,255,0,245,0
0,96,249,0,257,0,243,0
0,432,0,0,252,7,248,0
82,251,0,118,247,7,246,0
243,169,0,0,256,0,244,0
181,6,0,70,258,0,242,0
54,37,0,189,260,0,240,0
126,0,44,287,262,0,238,0
249,0,0,182,264,0,236,0
0,20,375,0,266,0,234,0
0,0,0,368,261,7,239,0
0,0,53,397,256,0,237,7
0,116,249,40,251,0,248,14
37,70,87,71,246,0,246,8
0,309,67,0,254,0,244,2
0,0,106,155,249,9,251,0
0,92,0,269,244,1,255,6
0,54,0,422,239,8,253,8
0,0,0,485,234,13,251,15
265,173,0,0,229,5,249,17
38,0,327,0,242,0,247,11
248,0,42,0,250,0,245,5
22,279,59,21,257,0,243,0
0,218,0,16,259,0,241,0
0,16,473,0,254,7,239,7
89,98,0,276,249,13,250,1
27,383,0,0,247,5,248,0
0,399,0,0,254,0,246,0
36,0,87,203,249,7,244,0
391,0,105,0,258,0,242,0
140,67,0,287,260,0,240,0
360,75,0,19,262,0,238,0
216,0,0,0,264,0,236,0
61,0,122,73,266,0,234,0
0,0,448,0,268,0,232,0
363,0,25,83,263,0,237,0
0,438,0,16,265,0,235,0
0,0,0,370,260,7,233,7
39,404,0,50,255,0,231,14
0,42,97,122,263,0,229,8
0,449,0,0,258,13,240,15
0,0,0,299,253,5,238,9
0,240,68,0,0,0,0,0
177,0,0,323,0,240,68,0
0,366,0,0,177,232,66,25
50,0,0,388,172,245,64,19
368,0,76,6,188,237,62,13
0,187,7,138,204,229,60,7
0,353,1,0,199,242,65,22
80,0,0,32,194,234,63,16
0,412,0,0,203,226,61,10
174,0,258,0,198,239,59,4
0,46,0,292,212,231,57,0
0,140,0,93,207,238,55,15
0,0,127,371,202,236,53,15
100,164,231,0,197,228,66,24
0,0,73,171,198,220,64,18
0,35,269,0,193,212,83,33
398,51,38,0,188,204,81,27
423,47,0,0,204,196,79,21
0,0,0,398,220,188,77,15
0,434,0,0,215,180,75,30
73,147,116,0,210,193,73,24
0,0,76,418,226,185,71,18
0,57,171,0,221,177,90,33
0,55,0,201,216,169,88,27
62,0,362,0,211,182,86,42
0,0,194,55,206,174,84,36
125,207,166,0,201,166,103,51
7,0,17,231,196,158,101,45
443,0,0,0,198,150,113,53
0,0,374,52,200,142,111,47
0,0,29,228,195,134,130,62
31,3,263,0,190,126,128,56
90,0,0,110,206,118,126,50
40,437,0,0,222,110,124,44
0,59,0,386,238,102,122,38
139,180,44,0,233,115,120,53
304,0,133,0,228,107,118,47
0,0,484,0,244,99,116,41
6,303,0,0,239,91,135,35
0,260,0,170,240,98,133,29
150,0,132,165,235,111,131,44
0,196,0,277,230,103,129,38
0,0,0,390,225,116,127,53
32,0,0,250,220,108,125,47
38,6,108,0,236,100,123,41
34,43,311,26,252,92,121,35
0,449,0,0,268,84,119,29
0,304,0,18,263,97,117,23
137,0,149,0,258,110,115,35
0,0,394,0,256,102,113,29
0,151,161,0,251,94,132,23
0,0,369,0,246,107,151,17
360,0,65,0,241,99,149,11
263,0,42,77,257,91,147,5
438,0,0,0,272,83,145,0
0,213,0,183,282,75,143,0
0,0,202,229,277,82,141,15
0,160,57,127,272,74,145,15
260,120,21,34,267,81,158,24
0,114,383,0,262,73,156,18
126,0,70,0,257,77,166,12
82,181,0,0,261,69,164,6
0,0,182,265,277,61,162,0
0,0,0,473,272,53,175,15
0,109,355,0,267,45,173,15
