states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
293,13,3,204
288,13,9,206
288,5,7,200
301,0,5,194
309,0,3,188
304,13,1,195
306,5,0,189
317,0,0,183
323,0,0,177
318,0,0,182
324,0,0,176
319,11,0,181
322,3,0,175
331,0,0,169
326,0,11,163
334,0,9,157
342,0,7,151
350,0,5,145
358,0,3,139
366,0,1,133
373,0,0,127
379,0,0,121
385,0,0,115
391,0,0,109
397,0,0,103
392,11,11,97
397,3,9,91
392,16,23,101
387,8,21,95
382,0,29,89
377,13,40,83
372,5,46,85
377,0,44,79
372,13,55,73
375,5,53,67
370,0,69,79
365,0,67,73
368,0,65,67
376,0,63,61
371,13,61,68
366,13,67,62
374,5,65,56
387,0,63,50
395,0,61,44
403,0,59,38
411,0,57,32
406,0,55,39
414,0,53,33
422,0,51,27
430,0,49,21
438,0,47,15
439,7,52,9
447,0,50,3
452,0,48,0
454,0,46,0
456,0,44,0
458,0,42,0
460,0,40,0
462,0,38,0
464,0,36,0
459,7,34,0
468,0,32,0
463,0,37,0
465,0,35,0
467,0,33,0
462,0,38,7
463,0,36,1
458,0,42,8
458,0,40,2
462,0,38,0
464,0,36,0
459,7,34,7
454,0,45,14
449,0,43,8
444,13,54,2
443,5,52,0
450,0,50,0
96,283,0,105
126,275,0,99
121,268,19,112
116,261,17,106
111,274,36,121
106,266,34,115
101,258,32,109
96,250,30,124
91,242,49,118
86,255,68,112
81,247,66,106
76,239,64,121
71,244,83,115
74,236,81,109
69,228,100,103
64,241,98,118
59,233,96,112
75,225,94,106
91,217,92,100
86,219,111,115
81,211,109,109
76,203,118,114
71,205,126,118
67,197,124,112
62,210,143,125
57,202,141,119
54,194,139,113
49,186,137,128
65,178,135,122
81,170,133,116
76,183,132,131
71,175,130,125
66,187,128,119
61,200,147,113
56,192,145,107
51,205,164,101
46,197,162,95
62,189,160,89
57,202,179,83
52,194,177,77
68,186,175,71
84,178,173,65
100,170,171,59
116,162,169,53
111,154,188,47
127,146,186,41
122,159,184,56
117,151,182,50
112,164,201,44
107,156,199,38
102,148,218,53
97,140,216,47
113,132,214,41
129,124,212,35
145,116,210,29
140,129,229,44
135,121,227,38
130,113,225,32
125,126,223,26
120,118,221,41
115,110,240,35
110,102,259,50
105,94,257,44
100,107,276,45
95,99,274,39
90,105,286,33
92,97,284,27
87,89,282,42
103,81,280,36
98,94,278,30
114,86,276,24
130,78,274,18
125,70,293,28
125,62,291,22
120,54,310,37
115,46,308,31
110,38,327,25
105,51,325,19
100,64,344,26
95,56,342,20
90,56,348,14
85,61,346,21
88,53,344,15
104,45,342,9
114,37,346,9
109,29,344,18
125,21,342,12
141,13,340,6
157,5,338,0
152,12,336,0
149,17,334,0
159,9,332,0
169,1,330,0
164,0,328,8
159,13,339,2
158,5,337,0
153,12,335,0
148,19,333,0
143,26,346,15
138,18,344,9
49,73,290,0
93,65,342,0
88,72,340,15
89,64,338,9
105,56,336,3
103,63,334,0
98,55,332,15
114,47,330,9
109,60,328,24
104,52,326,18
99,44,345,27
100,36,343,21
95,28,341,36
90,20,339,51
85,12,358,66
80,4,356,60
75,17,354,54
91,9,352,48
86,1,350,63
81,14,362,71
76,6,360,65
83,0,358,59
78,0,356,66
73,13,354,73
68,5,360,67
81,0,358,61
89,0,356,55
84,13,354,49
97,8,352,46
110,0,350,40
105,13,357,47
100,5,355,41
112,0,353,35
107,13,351,42
102,13,349,36
97,26,368,51
92,18,366,45
87,10,364,39
82,2,362,54
92,0,360,48
100,0,358,42
95,13,369,36
90,13,375,38
85,5,373,37
80,18,389,31
75,13,390,25
70,23,406,19
65,18,407,13
60,28,423,25
55,20,421,19
50,12,419,19
45,25,438,13
40,17,436,7
35,30,434,1
46,22,432,0
41,14,445,0
51,6,443,0
46,0,441,13
41,0,439,20
36,13,450,27
31,5,448,21
39,0,446,15
34,13,457,22
29,5,455,16
37,0,453,10
45,0,451,4
51,0,449,0
53,0,447,0
48,7,452,7
49,0,450,1
44,0,448,8
52,0,446,2
47,0,453,0
49,0,451,0
44,0,456,7
45,0,454,1
41,0,459,0
36,7,457,0
31,14,455,0
41,6,453,0
49,0,451,0
51,0,449,0
53,0,447,0
55,0,445,0
57,0,443,0
59,0,441,0
54,7,439,7
62,0,437,1
65,0,435,0
67,0,433,0
62,7,431,0
57,14,443,14
52,6,441,8
59,0,439,2
63,0,437,0
65,0,435,0
60,7,440,7
55,6,438,1
64,0,436,0
66,0,434,0
0,426,0,0
82,418,0,0
77,423,13,13
72,415,11,7
67,423,25,17
62,415,23,11
57,417,21,15
52,409,19,20
68,401,17,14
84,393,15,8
100,385,13,2
112,377,11,0
122,369,9,0
117,376,22,15
112,368,20,9
119,360,18,3
132,352,16,0
127,359,14,0
122,366,12,0
117,358,25,0
112,365,23,15
113,357,21,9
108,349,40,24
103,341,38,18
119,333,36,12
135,325,34,6
130,317,53,0
125,324,66,0
120,316,64,0
115,323,62,15
116,315,60,9
132,307,58,3
127,317,74,18
122,309,72,12
117,307,70,12
112,314,68,6
128,306,66,0
123,298,79,0
133,290,77,0
143,282,75,0
138,274,88,0
133,281,101,0
128,273,99,0
123,280,97,15
124,272,95,9
140,264,93,3
153,256,91,0
148,263,89,15
143,255,93,15
153,247,91,9
148,239,89,24
143,252,108,39
138,244,106,33
133,236,104,27
141,228,102,29
157,220,100,23
173,212,98,17
168,225,96,11
184,217,94,5
199,209,92,0
209,201,90,0
204,193,103,0
199,195,116,0
194,192,119,5
189,184,127,0
199,176,125,0
194,183,123,0
189,190,136,0
184,182,134,0
179,174,132,15
195,166,130,9
190,158,149,3
203,150,147,0
213,142,145,0
208,134,158,15
209,126,156,9
204,118,175,3
217,110,173,0
212,117,171,15
213,109,169,9
208,101,167,24
224,93,165,18
219,106,184,12
214,98,182,6
230,90,180,0
225,97,178,15
226,89,176,9
221,102,174,3
234,94,172,0
244,86,170,0
239,78,183,0
249,70,181,0
259,62,179,0
254,69,192,15
249,61,190,9
244,65,200,3
239,63,204,6
243,55,202,0
253,47,200,0
248,54,198,15
183,89,22,0
212,268,20,131
207,260,18,125
202,252,16,119
197,244,14,113
192,236,12,107
187,228,10,101
182,220,8,95
193,212,6,89
209,204,4,83
225,196,2,77
220,188,21,92
215,180,19,86
231,172,17,80
247,164,15,74
242,156,13,89
258,148,11,83
274,140,9,77
290,132,7,71
306,124,5,65
322,116,3,59
338,108,1,53
342,111,11,47
337,113,19,41
332,116,17,46
337,108,15,40
353,100,13,34
348,113,32,28
343,105,30,22
359,97,28,16
375,89,26,10
391,81,24,4
386,92,41,19
381,84,39,13
376,80,37,7
392,72,35,1
387,80,49,0
382,72,47,0
391,64,45,0
401,56,43,0
396,63,41,0
406,55,39,0
401,62,37,0
411,54,35,0
406,61,48,13
401,53,46,7
410,45,44,1
405,37,42,16
421,29,40,10
416,42,59,4
411,34,57,0
419,26,55,0
429,18,53,0
424,25,66,15
419,17,64,9
414,9,74,3
409,1,72,18
418,0,70,12
426,0,68,6
434,0,66,0
436,0,64,0
438,0,62,0
433,0,67,0
428,7,72,0
430,0,70,0
425,7,68,0
420,0,80,0
415,0,85,7
410,0,83,7
418,0,81,1
421,0,79,0
416,0,84,7
411,0,88,7
406,7,93,8
407,0,91,2
411,0,89,0
406,7,87,0
401,0,99,14
396,0,97,8
403,0,95,2
407,0,93,0
409,0,91,0
411,0,89,0
413,0,87,0
415,0,85,0
417,0,83,0
412,7,88,0
414,0,86,0
409,7,84,0
418,0,82,0
413,7,80,7
408,0,91,1
411,0,89,0
406,7,94,0
408,0,92,0
403,7,97,7
404,0,95,1
399,0,101,0
401,0,99,0
396,0,104,0
412,16,20,0
474,8,18,0
469,0,31,15
464,0,29,9
459,0,38,14
454,2,36,10
449,13,34,4
444,5,32,19
439,18,30,31
434,10,31,28
429,2,29,40
439,0,27,34
447,0,25,28
442,0,23,35
450,0,21,29
445,13,32,23
448,5,30,17
443,18,46,11
441,10,44,5
456,2,42,0
460,0,40,0
462,0,38,0
457,7,41,7
460,0,39,1
463,0,37,0
458,7,42,0
460,0,40,0
459,3,41,3
454,7,39,7
449,13,50,14
444,5,48,8
452,0,46,2
456,0,44,0
458,0,42,0
460,0,40,0
455,7,45,0
457,0,43,0
459,0,41,0
461,0,39,0
463,0,37,0
465,0,35,0
460,7,40,0
455,0,38,7
450,0,49,14
445,0,47,8
453,0,45,2
457,0,43,0
459,0,41,0
461,0,39,0
456,0,44,0
458,0,42,0
460,0,40,0
455,7,45,0
457,0,43,0
459,0,41,0
454,0,46,4
449,7,51,0
444,7,49,7
439,13,47,1
450,5,45,0
457,0,43,0
459,0,41,0
461,0,39,0
456,7,44,7
457,0,42,1
460,0,40,0
455,7,42,0
460,0,40,0
462,0,38,0
457,7,36,0
466,0,34,0
468,0,32,0
470,0,30,0
465,0,35,7
466,0,33,1
461,0,39,8
461,0,37,2
465,0,35,0
467,0,33,0
469,0,31,0
464,0,29,7
472,0,27,1
475,0,25,0
470,7,23,7
478,0,21,1
481,0,19,0
476,0,24,0
478,0,22,0
473,0,27,7
474,0,25,1
469,0,31,8
464,5,29,2
473,0,27,0
475,0,25,0
470,0,30,0
465,0,35,7
460,6,39,1
455,8,45,0
457,0,43,0
459,0,41,0
0,485,0,0
23,477,0,0
18,469,13,0
28,461,11,0
23,453,24,0
33,445,22,0
28,452,35,15
23,444,33,9
30,436,31,3
25,441,47,18
20,433,45,12
26,425,43,6
21,417,41,21
37,409,39,15
32,422,37,9
48,414,35,3
43,424,33,18
41,416,31,12
36,408,50,27
31,400,48,21
26,392,67,15
21,384,86,30
16,376,84,24
32,368,82,18
48,360,80,12
64,352,78,6
80,344,76,0
75,336,74,15
91,328,72,9
86,341,70,3
81,351,86,18
76,343,84,12
71,335,82,12
87,327,80,6
82,319,99,21
77,311,97,15
93,303,95,9
88,316,114,3
83,308,112,0
90,300,110,0
100,292,108,0
110,284,106,0
120,276,104,0
115,268,117,0
110,275,130,0
105,267,128,0
100,274,126,15
101,266,124,9
96,279,143,3
91,271,141,0
86,275,139,12
90,267,137,6
85,259,156,21
80,251,154,15
75,264,173,9
70,256,171,3
65,264,187,0
60,256,185,0
69,248,183,0
64,255,196,15
59,247,194,9
54,251,204,3
55,243,202,0
65,235,200,0
60,227,198,15
76,219,196,9
71,232,194,3
84,224,192,0
79,231,205,15
74,223,203,9
69,215,201,15
64,207,199,30
80,199,197,24
96,191,195,18
112,183,193,12
119,184,200,6
114,188,198,0
109,180,211,15
110,172,209,9
126,164,207,3
121,174,223,18
116,166,221,12
111,158,219,12
127,150,217,6
122,142,236,21
117,134,234,15
124,135,232,9
140,127,230,3
135,137,246,0
130,129,244,0
137,121,242,0
132,113,255,15
127,111,253,9
143,103,251,3
156,95,249,0
166,87,247,0
167,88,254,0
162,86,258,0
166,78,256,0
161,85,269,15
8,128,11,335
27,135,9,344
28,127,7,338
44,119,5,332
60,111,3,326
55,103,1,341
50,95,20,335
66,87,18,329
61,100,37,344
56,92,35,338
51,84,33,332
46,76,52,347
41,68,50,341
57,60,48,335
73,52,46,329
77,56,56,323
72,57,63,317
79,49,61,311
74,41,80,326
69,33,78,320
85,25,76,314
101,17,74,308
96,9,72,323
91,22,70,338
86,14,68,332
81,27,66,347
76,19,64,341
92,11,62,335
108,3,60,329
119,0,58,323
127,0,56,317
135,0,54,311
130,0,52,318
125,13,50,325
128,5,48,319
123,0,64,313
118,0,62,320
113,13,73,327
108,5,71,321
116,0,69,315
124,0,67,309
119,13,65,303
114,26,84,318
109,18,82,312
104,10,80,306
99,23,78,300
104,26,76,305
109,18,74,299
104,31,93,293
99,23,91,287
94,15,110,302
89,7,108,296
104,0,106,290
99,13,117,297
94,5,115,291
89,0,126,298
84,0,124,292
92,0,122,286
100,0,120,280
95,13,131,287
90,5,129,281
85,13,127,275
101,5,125,269
96,0,141,263
104,0,139,257
99,0,150,264
94,0,148,258
102,0,146,252
97,0,157,246
105,0,155,240
100,0,162,247
95,4,164,241
90,13,175,235
85,13,181,229
93,5,179,223
106,0,177,217
114,0,175,211
122,0,173,205
117,0,171,212
125,0,169,206
120,13,180,200
123,5,178,194
118,0,176,206
126,0,174,200
134,0,172,194
129,13,183,188
124,13,181,182
140,5,179,176
135,18,177,188
133,10,175,182
128,23,173,197
123,15,171,191
118,28,169,185
134,20,167,179
129,33,186,194
124,25,184,188
119,17,182,182
114,30,201,197
109,22,199,191
104,14,197,185
411,0,5,0
406,91,3,0
416,83,1,0
411,75,14,14
413,67,12,8
429,59,10,2
441,51,8,0
451,43,6,0
461,35,4,0
471,27,2,0
466,19,0,15
461,30,0,28
456,22,0,22
470,14,0,16
484,6,0,10
496,0,0,4
491,0,0,9
486,0,11,3
481,0,9,10
489,0,7,4
495,0,5,0
497,0,3,0
499,0,1,0
494,6,6,0
496,0,4,0
491,7,2,7
499,0,0,1
494,6,6,0
496,0,4,0
491,0,2,7
486,0,13,1
481,0,19,0
476,7,24,7
471,0,22,7
466,0,33,12
461,0,31,8
469,0,29,2
473,0,27,0
475,0,25,0
470,7,23,0
479,0,21,0
481,0,19,0
476,7,17,7
471,13,15,14
474,5,13,8
469,0,29,20
464,0,27,14
467,0,25,8
475,0,23,2
479,0,21,0
481,0,19,0
483,0,17,0
485,0,15,0
487,0,13,0
482,0,11,7
490,0,9,1
485,8,7,0
495,0,5,0
490,3,10,0
492,0,8,0
487,0,13,0
489,0,11,0
484,7,9,7
479,13,20,14
474,5,18,8
482,0,16,2
477,9,14,0
487,1,12,0
490,0,10,0
485,7,8,7
493,0,6,1
488,0,4,8
483,0,15,15
478,0,13,9
486,0,11,3
481,0,19,10
479,0,17,4
485,0,15,0
480,7,13,7
488,0,11,1
491,0,9,0
493,0,7,0
488,7,12,7
483,6,16,7
478,0,21,1
473,8,19,0
468,15,32,0
463,7,30,0
458,0,28,14
466,0,26,8
461,0,37,2
456,9,44,0
457,1,42,0
460,0,40,0
455,0,38,7
463,0,36,1
458,8,34,8
453,0,45,15
448,0,43,9
443,0,54,16
353,0,0,0
348,126,0,152
343,118,0,146
338,110,0,140
333,102,0,134
328,94,0,128
323,86,0,122
318,78,0,116
313,77,0,110
327,69,0,104
324,78,0,98
338,70,0,92
333,81,0,105
328,73,0,99
342,65,0,93
356,57,0,87
370,49,0,81
384,41,0,75
398,33,0,69
393,25,19,63
409,17,17,57
425,9,15,51
441,1,13,45
450,0,11,39
458,0,9,33
466,0,7,27
474,0,5,21
469,13,3,28
464,13,1,30
459,17,12,36
454,9,10,30
467,1,8,24
462,0,20,18
457,0,31,25
452,0,29,19
460,0,27,13
457,11,36,18
452,3,34,12
447,15,47,21
442,7,45,15
448,0,43,9
456,0,41,3
461,0,39,0
463,0,37,0
458,7,42,7
459,0,40,1
462,0,38,0
464,0,36,0
463,3,34,0
468,0,32,0
470,0,30,0
465,0,35,0
467,0,33,0
462,0,38,7
457,0,42,1
453,7,40,7
448,13,38,1
443,21,36,0
453,13,34,0
463,5,32,0
470,0,30,0
472,0,28,0
474,0,26,0
469,7,24,7
477,0,22,1
480,0,20,0
482,0,18,0
477,0,16,7
485,0,14,1
480,0,12,8
488,0,10,2
483,9,8,0
493,1,6,0
496,0,4,0
491,7,2,7
499,0,0,1
500,0,0,0
495,0,5,0
497,0,3,0
499,0,1,0
500,0,0,0
500,0,0,0
500,0,0,0
495,0,0,5
500,0,0,0
495,5,5,0
490,0,10,0
485,7,8,0
480,14,6,14
475,13,11,8
470,5,23,2
479,0,21,0
474,0,26,7
475,0,24,1
477,1,22,1
472,0,28,0
474,0,26,0
476,0,24,0
471,7,22,7
479,0,20,1
248,35,59,57
291,27,131,125
286,19,129,119
281,11,127,113
276,3,125,107
276,0,123,101
271,13,121,108
269,5,124,102
264,0,122,114
272,0,120,108
267,13,118,111
262,5,128,105
257,0,144,99
252,13,155,106
247,5,153,100
242,13,151,94
258,5,149,88
271,0,147,82
279,0,145,76
274,0,143,83
269,13,154,77
264,5,152,79
259,0,150,91
267,0,148,85
275,0,146,79
270,13,144,86
265,5,150,80
260,0,166,92
255,0,164,86
258,0,162,80
266,0,160,74
261,13,171,68
256,5,169,70
269,0,167,64
277,0,165,58
272,0,176,65
267,0,174,59
262,0,185,66
257,0,183,60
265,0,181,54
260,13,179,48
255,5,177,63
250,18,193,57
245,13,194,51
258,5,192,45
271,0,190,39
266,13,201,33
269,5,199,27
282,0,197,21
290,0,195,15
298,0,193,9
306,0,191,3
311,0,189,0
313,0,187,0
308,7,185,7
303,13,183,1
298,21,181,16
293,13,184,10
309,5,182,4
320,0,180,0
315,0,185,0
310,7,190,7
305,6,194,7
300,0,199,1
303,0,197,0
305,0,195,0
300,0,193,7
308,0,191,1
311,0,189,0
306,0,194,0
308,0,192,0
310,0,190,0
305,7,188,0
314,0,186,0
316,0,184,0
311,7,189,7
312,0,187,1
307,0,185,8
315,0,183,2
319,0,181,0
314,0,179,7
322,0,177,1
325,0,175,0
327,0,173,0
329,0,171,0
327,4,169,4
333,0,167,0
335,0,165,0
337,0,163,0
339,0,161,0
341,0,159,0
343,0,157,0
338,0,162,7
333,6,166,1
336,0,164,0
331,7,162,0
340,0,160,0
335,0,165,7
336,0,163,1
335,0,161,4
51,0,201,0
46,75,256,241
41,67,254,235
36,59,252,229
31,51,250,223
26,43,248,217
21,35,246,211
24,27,244,205
40,19,242,199
56,11,240,193
51,24,259,208
46,16,257,202
41,8,255,196
36,21,274,190
31,13,272,184
47,5,270,178
60,0,268,172
55,0,279,179
50,0,277,173
58,0,275,167
53,13,273,161
48,26,271,155
64,18,269,149
59,23,267,164
62,15,265,158
78,7,263,152
88,5,266,151
91,0,264,145
99,0,262,139
94,13,273,146
89,5,271,140
84,0,269,147
92,0,267,141
100,0,265,135
95,13,263,129
111,5,261,123
106,0,259,135
114,0,257,129
122,0,255,123
117,0,266,117
125,0,264,111
133,0,262,105
128,0,273,99
136,0,271,93
144,0,269,87
139,0,280,94
134,0,278,88
129,0,276,95
137,0,274,89
132,0,285,96
127,0,283,90
122,13,294,84
125,5,292,78
120,0,290,90
123,5,293,89
126,0,291,83
134,0,289,77
142,0,287,71
137,13,285,74
132,5,295,80
133,0,293,74
141,0,291,68
149,0,289,62
157,0,287,56
165,0,285,50
173,0,283,44
176,5,286,43
171,0,292,44
172,0,290,38
180,0,288,32
175,0,299,39
170,0,297,33
165,0,308,40
160,0,306,34
168,0,304,28
169,0,302,29
164,13,313,23
167,5,311,17
162,0,327,11
170,0,325,5
177,0,323,0
179,0,321,0
174,7,319,7
169,0,330,1
164,8,328,0
174,0,326,0
169,7,324,0
164,0,336,0
166,0,334,0
161,7,332,7
169,0,330,1
164,8,336,8
159,5,339,2
163,0,337,0
158,7,342,0
153,7,347,0
155,0,345,0
157,0,343,0
159,0,341,0
161,0,339,0
172,0,191,37
167,113,302,31
162,105,300,25
157,97,298,19
152,89,296,13
147,81,294,7
142,73,292,1
137,65,290,8
132,57,288,23
127,49,307,38
122,41,305,32
117,54,324,47
112,46,322,41
107,38,320,35
109,44,318,43
111,36,316,37
127,28,314,31
122,41,312,25
117,33,331,19
133,25,329,13
128,38,327,28
123,30,325,22
139,22,323,16
134,14,342,31
129,6,340,25
124,19,357,19
121,11,355,13
137,3,353,7
148,0,351,1
143,0,357,8
138,5,360,2
133,9,367,9
128,4,365,6
137,0,363,0
139,0,361,0
141,0,359,0
143,0,357,0
145,0,355,0
147,0,353,0
149,0,351,0
